timestamp,asset,close
2023-01-01,AAPL,100
2023-01-02,AAPL,101
2023-01-03,AAPL,102
2023-01-04,AAPL,101
2023-01-05,AAPL,103
2023-01-06,AAPL,104
2023-01-07,AAPL,105
2023-01-08,AAPL,106
2023-01-09,AAPL,107
2023-01-10,AAPL,108
2023-01-11,AAPL,109
2023-01-12,AAPL,110
2023-01-13,AAPL,111
2023-01-14,AAPL,112
2023-01-15,AAPL,113
2023-01-01,GC,1800
2023-01-02,GC,1802
2023-01-03,GC,1801
2023-01-04,GC,1805
2023-01-05,GC,1807
2023-01-06,GC,1808
2023-01-07,GC,1810
2023-01-08,GC,1812
2023-01-09,GC,1811
2023-01-10,GC,1813
2023-01-11,GC,1815
2023-01-12,GC,1816
2023-01-13,GC,1818
2023-01-14,GC,1820
2023-01-15,GC,1822
